Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-22,15785978.69,1504937.857,3.363892393,12.45763973,27598363
Feb-22,14229029.7,1421449.418,3.453829649,12.52434104,24890534
Mar-22,17273695.86,1582767.383,3.587239818,12.73508663,29420177
Apr-22,15962613.4,1405327.557,3.863981888,12.47574914,29163388
May-22,17360855.02,1531826.016,3.935452609,14.52004034,30945970
Jun-22,20038812.27,1949512.218,4.068769454,13.87528485,36413097
Jul-22,18045041.27,2334649.639,4.000501274,12.9177786,35028275
Aug-22,19562869.05,2305210.91,4.126488317,14.12269638,37348603
Sep-22,17912757.98,2147737.561,4.228515046,13.9648101,34909816
Oct-22,14470692.72,1726845.212,4.412499502,13.69095002,33179670
Nov-22,17062287.29,2244252.723,4.61204377,13.68173271,36827387
Dec-22,16672650.54,1948118.077,4.413487885,14.48475796,34530267
Jan-23,17651848.71,1644493.176,4.33789593,13.98160549,34508759
Feb-23,15151650.49,1476316.144,4.618011976,14.70758419,33321140
Mar-23,19017841.88,2134989.924,4.611959107,14.47897986,40815447
Apr-23,18199985.98,2179526.092,4.711038758,13.72595852,35914360
May-23,18731832.87,2239618.683,4.7885025,13.97600733,38302147
Jun-23,18710578.57,2333943.272,4.516113373,13.52125901,38897667
Jul-23,21479823.81,2464073.8,4.591269151,13.79272152,39621919
Aug-23,24151259.39,2806058.912,4.379095475,13.76593136,41783822
Sep-23,21043264.92,2271027.387,4.046785891,14.38260766,34501584
Oct-23,22125962.04,2285036.818,3.942687197,14.66317188,34081456
Nov-23,19206166.45,1952814.895,3.836722979,14.33243036,31062464
Dec-23,15575126.03,1406939.275,3.926711132,14.61016202,27769341
Jan-24,19507006.97,2330841.132,3.656754753,16.01923954,29205881
Feb-24,18243370.94,1981933.084,3.596685862,15.57926856,27471453
Mar-24,19269665.72,2243991.956,3.693712829,15.12588432,29572484
Apr-24,17923924.36,2237977.557,3.625116612,15.05365287,27473040
May-24,17876548.47,2188862.817,3.750812772,15.15013817,29238211
Jun-24,15388720.78,1899472.582,3.838623029,14.78195422,25402555
Jul-24,16359272.21,2230492.516,4.089779372,14.97880395,27760145
Aug-24,15140018.53,2091268.987,3.849632323,14.46831588,25480098
Sep-24,17901486.58,2107536.946,4.021980241,15.13555298,29233675
Oct-24,16501985.6,2042334.701,3.88361812,15.43585446,26847116
Nov-24,16588638.6,2048120.304,3.753992052,15.77652537,26847883
Dec-24,11188003.51,1197227.368,4.127575959,16.20038077,21882734
