Month,OB (Bcm),Coal (Ton),Coal (BCM),Distance OB (KM),Distance Coal (KM),Fuel Ratio,Fuel
Jan-22,15158391.35,1382904.44,1063772.646,3.25744,14.11002,1.568922679,25451321
Feb-22,14545774.51,1361767.64,1047513.566,2.94707,14.09107,1.488899704,23216842
Mar-22,16263662.93,1667739.97,1282876.901,2.92267,13.58768,1.510927012,26511541
Apr-22,16371293.95,1581188.09,1216298.531,2.87631,13.18997,1.503440225,26441894
May-22,16081951.13,1681852.58,1293732.753,3.00286,13.27358,1.601436536,27826055
Jun-22,17799250.33,1842844.31,1417572.543,3.16483,12.17144,1.551181025,29808771
Jul-22,18101051.59,1785299.32,1373307.17,3.28786,11.3936,1.524871415,29695893
Aug-22,18711501.43,1837611.59,1413547.376,3.35792,12.01172,1.550671171,31207333
Sep-22,17871850.04,1592696.86,1225151.433,3.25653,13.33577,1.507241806,28783799
Oct-22,17825622.94,1474014.97,1133857.67,3.32698,13.85257,1.548778978,29364045
Nov-22,18966745.75,1956132.92,1504717.633,3.63885,12.67301,1.515000487,31014277
Dec-22,16704330.79,1308437.09,1006490.069,3.96783,13.63915,1.717055367,30410460
Jan-23,17384635.26,1168560.887,898892.9902,4.04914656,13.13320618,1.641907327,30019859
Feb-23,15768223.79,1167988.8,898452.9232,4.001955879,13.35685257,1.724513201,28741904
Mar-23,19750434.03,1374953.695,1057656.688,3.647640367,13.54175981,1.60546407,33406642
Apr-23,17571138.89,1394514.548,1072703.498,3.527484565,12.66475421,1.539526424,28702688
May-23,18533067.06,1573064.007,1210049.236,3.879661679,11.88740559,1.644406917,32465717
Jun-23,18649038.45,1563274.163,1202518.587,3.722714783,10.89159805,1.573888988,31244147
Jul-23,20742898.38,1683865.843,1295281.418,3.827571422,12.96160004,1.523316912,33571132
Aug-23,23445864.03,1764668.399,1357437.23,3.731248119,13.41072309,1.436316667,35625395
Sep-23,21119800.96,1754962.712,1349971.317,3.82926568,12.10798149,1.485748169,33384423
Oct-23,22294833.78,2017816.934,1552166.872,4.198328006,11.98946658,1.528376861,36447204
Nov-23,20776000.54,1761585.72,1355065.938,4.067367821,11.92203298,1.520908991,33659338
Dec-23,18888171.55,1274742.723,980571.3256,4.274601603,12.54236064,1.640249773,32589701
Jan-24,18764364.43,1794218.293,1380167.917,4.187584701,13.548091,1.579575215,31819804
Feb-24,17758063.49,1453870.841,1118362.185,4.367931156,14.07519585,1.625670109,30686841
Mar-24,19184562.84,1560546.053,1200420.041,4.440031615,14.69575609,1.571599996,32037039
Apr-24,18390434.76,1655073.208,1273133.237,4.231823561,14.07642018,1.525629479,29999319
May-24,18832875.87,1715743.806,1319802.928,4.361404574,14.19626492,1.609058643,32426842
Jun-24,15216375.49,1759282.919,1353294.553,4.934113521,11.37291737,1.727335542,28621380
Jul-24,15124626.7,1684983.779,1296141.368,5.140218683,11.43819094,1.868433856,30681119
Aug-24,17004298.81,1849275.791,1422519.839,4.621781868,12.59054428,1.68175411,30989378
Sep-24,17225304.6,1727929.387,1329176.452,4.772161732,13.59159879,1.716624675,31851080
Oct-24,16503268.26,1752797.375,1348305.673,4.588763812,12.15411075,1.743680648,31127444
Nov-24,15398246.98,1518041.534,1167724.257,4.794842668,13.7644887,1.8516895,30675035
Dec-24,15378584.85,1128237.018,867874.6295,4.651142288,13.72474473,1.900933064,30883432
