Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-22,30944370.04,2887842.297,3.311745685,13.24891701,54897230
Feb-22,28774804.21,2783217.058,3.197660692,13.29090748,49699010
Mar-22,33537358.79,3250507.353,3.264962218,13.17252728,57638699
Apr-22,32333907.35,2986515.647,3.363904164,12.85388796,57076817
May-22,33442806.15,3213678.596,3.486988186,13.86771545,60299519
Jun-22,37838062.6,3792356.528,3.643550943,13.04732451,67754555
Jul-22,36146092.86,4119948.959,3.643628499,12.25730561,66370342.72
Aug-22,38274370.48,4142822.5,3.7507521,13.18634087,70258548.21
Sep-22,35784608.02,3740434.421,3.743078096,13.69696148,65529457.78
Oct-22,32296315.66,3200860.182,3.813358054,13.76537697,64517088
Nov-22,36029033.04,4200385.643,4.099725863,13.21196734,69779189.85
Dec-22,33376981.33,3256555.167,4.190447441,14.14500483,66931446.15
Jan-23,35036483.97,2813054.063,4.19462235,13.62917492,66196227.85
Feb-23,30919874.28,2644304.944,4.303841539,14.11096639,63750652.15
Mar-23,38768275.91,3509943.619,4.12068852,14.11184172,76136157
Apr-23,35771124.87,3574040.64,4.129664949,13.3118992,66433943
May-23,37264899.93,3812682.69,4.336505905,13.11427702,72744284
Jun-23,37359617.02,3897217.435,4.120067536,12.46643436,72167262
Jul-23,42222722.19,4147939.643,4.216084806,13.4553258,75097819.62
Aug-23,47597123.42,4570727.311,4.059972387,13.6287924,79564919.38
Sep-23,42163065.88,4025990.099,3.93782836,13.39107911,69967245.34
Oct-23,44420795.82,4302853.752,4.070993528,13.40934171,72919010.66
Nov-23,39982166.99,3714400.615,3.956573345,13.18927914,66839712
Dec-23,34463297.58,2681681.998,4.117378171,13.62722864,62655913.3
Jan-24,38271371.4,4125059.425,3.917019443,14.94439929,63128503.7
Feb-24,36001434.43,3435803.925,3.977110229,14.94281564,59984044.41
Mar-24,38454228.56,3804538.009,4.066046385,14.94945425,63500264.72
Apr-24,36314359.12,3893050.765,3.9323671,14.63819678,59363614.87
May-24,36709424.34,3904606.623,4.064062021,14.73099169,63626723.22
Jun-24,30605096.27,3658755.501,4.383283778,13.14274649,55881522.78
Jul-24,31483898.91,3915476.295,4.594402465,13.45513862,60422356
Aug-24,32144317.34,3940544.778,4.25809835,13.58708809,57785221
Sep-24,35126791.18,3835466.333,4.389850583,14.43998076,62277154
Oct-24,33005253.86,3795132.076,4.236204668,13.92016762,59359304
Nov-24,31986885.58,3566161.838,4.255049737,14.92004286,58885999
Dec-24,26566588.36,2325464.386,4.430652482,14.99928552,54143004
